Task|Owner|DueDate|Status|Source
Review Q1 financials with accountant|Jeff|2/15/2026|OPEN|Meeting
Update employee handbook with new policies|HR|2/20/2026|OPEN|Rock
Order new shop equipment for 4th tech|Don|2/18/2026|OPEN|Rock
Schedule CSR training with vendor|Don|3/1/2026|OPEN|Rock
Complete inventory audit for OSS|Doug|2/25/2026|OPEN|Issue
Set up weekly team meetings|Jeff|2/12/2026|OPEN|Meeting
Review and approve marketing budget|Jeff|2/16/2026|OPEN|Meeting
Fix parking lot signage|Operations|2/10/2026|OPEN|Issue
Interview candidates for open tech position|HR|2/22/2026|OPEN|Rock
Document parts receiving process|Doug|3/10/2026|OPEN|Rock
Create training manual for new CSRs|Don|3/15/2026|OPEN|Issue
Update accountability chart with new roles|Jeff|2/14/2026|OPEN|Meeting
